Month,ZipCode,ZipName,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2017-09-01,78758.0,"Austin, TX",297700.0,0.0825,,31.0,-0.1842,,44.0,0.6296,,16.0,-0.4286,0.1429,2.0,0.0,,6.0,-0.7273,0.0,27.0,-0.25,0.2857,285300.0,0.0157,0.0661,58.0,-0.2162,0.45,0.871,-0.0764,-0.2343
2017-09-01,78759.0,"Austin, TX",425000.0,-0.0449,-0.1557,102.0,-0.0467,0.0968,53.0,0.06,0.2045,40.0,0.3333,0.0526,2.0,,,42.0,-0.3636,-0.2222,33.0,-0.0294,-0.2143,495000.0,-0.0126,-0.0734,135.0,-0.0426,0.0,0.3235,0.0058,-0.1281
2017-08-01,78701.0,"Austin, TX",600000.0,-0.0321,,139.0,0.0296,,78.0,0.0833,,26.0,-0.35,-0.0714,0.0,-1.0,-1.0,32.0,0.0,0.3333,21.0,-0.087,0.1053,1008600.0,-0.0024,-0.1494,160.0,0.0127,0.4815,0.1511,-0.0193,-0.0624
2017-08-01,78702.0,"Austin, TX",449500.0,-0.0416,0.0515,184.0,0.1572,0.2517,51.0,0.1591,0.186,48.0,0.0,-0.25,2.0,,,96.0,0.6,0.2973,77.0,-0.0723,0.1846,480200.0,-0.0632,0.0169,261.0,0.0785,0.2311,0.4185,-0.1035,-0.0237
2017-08-01,78703.0,"Austin, TX",930700.0,-0.169,-0.0515,135.0,-0.0493,-0.0074,72.0,0.1803,-0.0137,28.0,-0.3636,-0.0667,0.0,-1.0,,44.0,-0.2143,-0.12,28.0,-0.0968,-0.0968,1167100.0,-0.065,-0.1173,163.0,-0.0578,-0.024,0.2074,-0.0109,-0.0205
2017-08-01,78704.0,"Austin, TX",595500.0,-0.0058,-0.0116,303.0,0.114,0.2418,61.0,0.1091,0.0893,108.0,0.35,0.4595,4.0,,,118.0,-0.2237,0.0351,97.0,-0.0102,0.2436,695800.0,0.0267,0.0391,400.0,0.0811,0.2422,0.3201,-0.0402,0.0005
2017-08-01,78705.0,"Austin, TX",343200.0,-0.0671,-0.0445,40.0,-0.0244,-0.1111,43.0,0.1026,-0.0851,14.0,-0.4167,-0.125,0.0,,,10.0,-0.375,0.0,14.0,-0.6585,0.0,397500.0,-0.0788,-0.2888,54.0,-0.3415,-0.0847,0.35,-0.65,0.0389
2017-08-01,78717.0,"Austin, TX",365500.0,-0.0379,0.0116,135.0,-0.0288,0.1947,51.0,0.4571,0.2143,62.0,-0.0882,0.55,22.0,,2.6667,62.0,-0.1389,0.1071,52.0,0.0,0.3,394600.0,-0.0015,0.0225,187.0,-0.0209,0.2222,0.3852,0.0111,0.0312
2017-08-01,78721.0,"Austin, TX",370700.0,0.0594,,55.0,0.0,,40.0,-0.0244,,20.0,-0.2857,-0.0909,0.0,,,32.0,0.1429,0.7778,27.0,0.1739,0.5882,415300.0,0.0693,0.1982,82.0,0.0513,0.5185,0.4909,0.0727,0.0314
2017-08-01,78723.0,"Austin, TX",427500.0,0.0181,0.1793,89.0,0.0595,-0.0532,50.0,0.3514,0.1628,52.0,0.1818,0.5294,6.0,0.5,0.5,28.0,-0.2222,-0.3913,41.0,-0.2115,0.0513,457200.0,-0.0041,0.1303,130.0,-0.0441,-0.0226,0.4607,-0.1584,0.0458
